fullVisitorId,channelGrouping,time,country,city,totalTransactionRevenue,transactions,timeOnSite,pageviews,sessionQualityDim,date,visitId,type,productRefundAmount,productQuantity,productPrice,productRevenue,productSKU,v2ProductName,v2ProductCategory,itemQuantity,itemRevenue,transactionRevenue,transactionId,eCommerceAction_type
5032102780863514291,Referral,176336,United States,New York,,,601,35,,20170210,1486753539,EVENT,,1,10390000,,GGOEGDWR015799,Red Shine 15 oz Mug,Home/Drinkware/Mugs and Cups/,,,,,3
239169120122428785,Referral,645579,United States,New York,90110000,1,1919,50,79,20170731,1501545926,EVENT,,1,47990000,,GGOEGEHQ024099,Clip-on Compact Charger,${escCatTitle},,,,,3
193976941364683442,Organic Search,11950,United States,New York,,,369,14,,20161026,1477492798,EVENT,,60,25000000,,GGOEGGCX056299,Gift Card - $25.00,${escCatTitle},,,,,3
6052901290811595351,Organic Search,96512,United States,Mountain View,274000000,1,855,36,,20161215,1481816770,EVENT,,3,25000000,,GGOEGGCX056299,Gift Card - $25.00,${escCatTitle},,,,,3
2509157975068100994,Organic Search,1519315,United States,not available in demo dataset,,,3022,65,,20160821,1471811428,EVENT,,1,990000,,GGOEGGOA017399,Maze Pen,${escCatTitle},,,,,3
3946749082213874642,Direct,309434,United States,not available in demo dataset,21820000,1,1008,27,,20161023,1477259496,EVENT,,18,990000,,GGOEGGOA017399,Maze Pen,${escCatTitle},,,,,3
8937539596290330126,Referral,336164,United States,not available in demo dataset,,,736,28,,20160906,1473218462,EVENT,,1,2800000,,GGOEGHGC019799,Google Sunglasses,${escCatTitle},,,,,3
6760732402251466726,Referral,1637332,United States,Mountain View,616500000,5,1759,56,,20161117,1479397718,EVENT,,20,1200000,,GGOEGODR017799,Recycled Mouse Pad,Home/Office/Office Other/,,,,,3
0864847582226916144,Direct,1398042,United States,Seattle,302000000,1,2631,36,,20170412,1492014696,EVENT,,1,149000000,,GGOENEBD084799,Nest® Learning Thermostat 3rd Gen-USA - Copper,${escCatTitle},,,,,3
1225065308619689830,Referral,602662,United States,Mountain View,,,683,22,56,20170727,1501181076,EVENT,,1,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,${escCatTitle},,,,,3
1598696868992047497,Direct,646430,United States,Mountain View,,,760,12,,20161127,1480269559,EVENT,,2,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,${escCatTitle},,,,,3
4998444590527389280,Referral,1800836,United States,San Francisco,,,2893,77,,20160925,1474845319,EVENT,,1,31990000,,GGOEGAEL031116,Google Heavyweight Long Sleeve Hero Tee Navy,(not set),,,,,4
8343235523660453315,Referral,2093288,United States,not available in demo dataset,,,2456,51,,20170118,1484786599,EVENT,,1,17590000,,GGOEGALL060013,Google Women's Short Sleeve Performance Tee Navy,(not set),,,,,4
771815932973256902,Paid Search,643201,United States,not available in demo dataset,36600000,1,1308,23,41,20170730,1501480779,EVENT,,1,8490000,,GGOEGALL074616,Google Women's Short Sleeve Badge Tee Navy,(not set),,,,,4
4362809979067745350,Referral,135884,United States,San Francisco,215810000,1,876,26,,20161003,1475531955,EVENT,,1,27190000,,GGOEGAWQ062953,Google Baby Essentials Set,(not set),,,,,4
4785023226103851500,Referral,2200289,United States,not available in demo dataset,,,2227,46,,20170517,1495074760,EVENT,,1,10390000,,GGOEGDWR015799,Red Shine 15 oz Mug,(not set),,,,,4
073263666822991129,Organic Search,0,United States,not available in demo dataset,,,25,1,,20160904,1473052841,EVENT,,1,97990000,,GGOEGEFQ071399,Google Phone Sanitizer,(not set),,,,,4
0076628628953195350,Organic Search,315772,United Kingdom,not available in demo dataset,,,328,17,,20170203,1486112027,EVENT,,2,49990000,,GGOEGEVB070499,Google Bluetooth Headphones,(not set),,,,,4
1856749147915772585,Organic Search,79052,Canada,Montreal,,,1123,100,,20160802,1470160598,EVENT,,1,25000000,,GGOEGGCX056299,Gift Card - $25.00,(not set),,,,,4
5429642908355908578,Referral,1253166,United States,Mountain View,48550000,1,1849,52,,20170613,1497383915,EVENT,,1,2390000,,GGOEGOBG023599,Colored Pencil Set,(not set),,,,,4
0193658851061964474,Referral,267890,United States,not available in demo dataset,,,513,23,,20161124,1480004578,EVENT,,2,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,(not set),,,,,4
6085855224776525636,Direct,282432,United States,Redwood City,239000000,1,510,25,,20161127,1480317730,EVENT,,1,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,(not set),,,,,4
7868347671822888591,Organic Search,222533,United States,not available in demo dataset,,,1415,16,,20170206,1486413957,EVENT,,1,149000000,,GGOENEBJ079499,Nest® Learning Thermostat 3rd Gen-USA - Stainless Steel,(not set),,,,,4
6033730225494493473,Referral,458374,United States,Los Angeles,,,589,30,,20170620,1498004939,EVENT,,1,149000000,,GGOENEBQ084699,Nest® Learning Thermostat 3rd Gen-USA - White,(not set),,,,,4
8942866004645538967,Direct,4151248,United States,not available in demo dataset,3775800000,7,6427,343,,20170320,1489999542,PAGE,,,39980000,,GGOEAAAB034814,Android BTTF Cosmos Graphic Tee,Apparel,,,,,5
4636052301667930460,Organic Search,2532327,Venezuela,not available in demo dataset,,,4261,195,,20170320,1490065543,PAGE,,,49980000,,GGOEAAEB031614,Android Men's 3/4 Sleeve Raglan Henley Black,Apparel,,,,,5
7359252773164627313,Referral,1277114,United States,Austin,77030000,1,1814,49,,20160816,1471355221,PAGE,,,11960000,,GGOEADHH055999,22 oz Android Bottle,(not set),,,,,5
6482578323423752011,Organic Search,1266615,Canada,not available in demo dataset,729200000,1,1314,43,,20161115,1479237701,PAGE,,,39800000,,GGOEAFKQ020499,8 pc Android Sticker Sheet,Office,,,,,5
7452591958167406113,Referral,780467,United States,New York,12960000,1,847,30,,20170130,1485829428,PAGE,,,1590000,,GGOEAFKQ020499,8 pc Android Sticker Sheet,Office,,,,,5
7201699214751472527,Referral,684137,United States,not available in demo dataset,314390000,1,733,25,,20170104,1483534484,PAGE,,,2390000,,GGOEAFKQ020599,Android Sticker Sheet Ultra Removable,Office,,,,,5
9662800125044386280,Organic Search,1668393,United States,not available in demo dataset,446790000,8,2048,150,,20161021,1477074404,PAGE,,,11970000,,GGOEAKDH019899,Windup Android,Lifestyle,,,,,5
4362809979067745350,Referral,1946799,United States,San Francisco,462560000,1,1971,63,,20160908,1473390926,PAGE,,,39900000,,GGOEAKDH019899,Windup Android,(not set),,,,,5
784499115644338284,Referral,1921153,United States,Austin,110930000,1,1948,12,,20161011,1476198961,PAGE,,,27180000,,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,(not set),,,,,5
5531986444834608429,Paid Search,9137570,United States,not available in demo dataset,,,9138,340,,20170124,1485273868,PAGE,,,67960000,,GGOEGAAB010516,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,,,,,5
1541545257640395358,Direct,1727736,United States,not available in demo dataset,46290000,1,1752,48,84,20170718,1500421129,PAGE,,,7600000,,GGOEGAAB033814,Google Men's Vintage Badge Tee Black,Apparel,,,,,5
8942866004645538967,Direct,2086967,United States,not available in demo dataset,3775800000,7,6427,343,,20170320,1489999542,PAGE,,,37980000,,GGOEGAAJ032617,Google Men's Short Sleeve Badge Tee Charcoal,Apparel,,,,,5
5501735992704421396,Direct,1759005,United States,Chicago,149940000,1,1893,46,,20170523,1495544101,PAGE,,,11190000,,GGOEGAAJ032714,Google Men's Skater Tee Grey,Apparel,,,,,5
119870259714905967,Direct,2686190,United States,not available in demo dataset,616170000,1,2723,41,,20170517,1495073941,PAGE,,,41970000,,GGOEGAAJ032715,Google Men's Skater Tee Grey,Apparel,,,,,5
2187177207543456316,Referral,470223,United States,Los Angeles,179750000,1,487,15,,20161218,1482089993,PAGE,,,17590000,,GGOEGAAJ059114,Google Men's Short Sleeve Performance Badge Tee Pewter,Apparel,,,,,5
